id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,a3c69a524dbba8f7d64e37864a612287,2022-10-31T00:00:00,2,Ярославль,5401,Александр,Кузнецов,9,Ручка шариковая,5,225
2,302b73a856a889c182819a6fe4331289,2022-10-31T00:00:00,1,Ростов,1609,Евгений,Васильев,2,Молоко 5%,3,450
3,ba5b347ba9959025a3fd3f3f36458071,2022-10-31T00:00:00,0,Москва,1311,Евгения,Волкова,1,Молоко 3%,2,240
4,9346616fe9cf7bdd155c04db7564c239,2022-10-31T00:00:00,1,Ростов,6600,Алексей,Васильев,8,Лампочка LED,3,900
5,72201035920883cdc8e6ba0f837c8433,2022-10-31T00:00:00,2,Ярославль,5311,Оксана,Волкова,1,Молоко 3%,2,240
6,eb227b51aeda107e7303e6aac138498f,2022-10-31T00:00:00,1,Ростов,7113,Анна,Федорова,9,Ручка шариковая,1,45
7,14d399b1926385f50f7f6fdec959f800,2022-10-31T00:00:00,0,Москва,5306,Александр,Смирнов,11,Хлеб ржаной,4,80
8,dc5bef00b94aeedcdc3ca1402983a592,2022-10-31T00:00:00,1,Ростов,2016,Ольга,Великая,5,Яблоко молодильное,2,800
9,06f26659cf4096d2899d151e1cef4f8c,2022-10-31T00:00:00,2,Ярославль,3804,Олег,Михайлов,10,Томаты,4,200
10,95f8bed5be9b1794a7300a84fc5db6a0,2022-10-31T00:00:00,0,Москва,7817,Анна,Козлова,3,Устройство для нагревания табака Трубка Мира,2,1000
11,f1257007ee8411eb99d3d2ea0e4bf1be,2022-10-31T00:00:00,2,Ярославль,6004,Алексей,Иванов,6,Яблоко,1,140
12,cf5b48c2e7be71e1dc7fb846e10db3ef,2022-10-31T00:00:00,0,Москва,6719,Елизавета,Павлова,3,Устройство для нагревания табака Трубка Мира,3,1500
13,5b030e0a531e481f9659c23c605e2881,2022-10-31T00:00:00,1,Ростов,2911,Ольга,Орлова,7,Средство для мытья посуды,4,800
14,7af972e7cc89458381df0557e1dd1de1,2022-10-31T00:00:00,2,Ярославль,6719,Елизавета,Павлова,11,Хлеб ржаной,1,20
15,c188aaea361dd4a91db08339bfed3c2a,2022-10-31T00:00:00,2,Ярославль,8517,Снежанна,Лебедева,10,Томаты,4,200
16,cc295f4bec52d533a5f4d61177610c5d,2022-10-31T00:00:00,0,Москва,515,Александра,Лебедева,6,Яблоко,4,560
17,e11842efbb0ce72efd4905b777401608,2022-10-31T00:00:00,0,Москва,6703,Алексей,Соколов,5,Яблоко молодильное,3,1200
18,bdfe1d60d0260c1a3399f637a8e53147,2022-10-31T00:00:00,2,Ярославль,2617,Ольга,Егорова,1,Молоко 3%,3,360
19,4ed96f3984b8065b7ea6e757ca7ac1ef,2022-10-31T00:00:00,0,Москва,1910,Евгения,Орлова,8,Лампочка LED,2,600
20,f59d25906753c69ceb23b539591affa5,2022-10-31T00:00:00,1,Ростов,6504,Алексей,Попов,11,Хлеб ржаной,1,20
21,583951f966978200f9a6e389a87fe5e2,2022-10-31T00:00:00,0,Москва,500,Иван,Попов,1,Молоко 3%,5,600
